name,city,label_id,address,imgsUrl,score,averagePrice,lat,lng
灞桥生态湿地公园,1,"[""自然生态""]",灞桥区祥云路（东南门）,http://zxwpic.weiyoutong.com/5f3068f8-1a15-42e9-b8e5-1e0c13d8f41b.jpg,4.7,0.0,34.273839,109.037948
户县万华山朝阳景区,1,"[""自然生态""]",户县太平峪,http://zxwpic.weiyoutong.com/30b9fd47-0ba9-4c52-afee-88ccbf2be806.jpg,4.3,30.0,33.9583303,108.6947696
户县钟馗故里民俗文化旅游景区,1,"[""民俗风情""]",西安市户县石井镇二姑泉村,http://zxwpic.weiyoutong.com/65748f37-abc0-42b6-8e60-5471a0a1e952.jpg,0.0,0.0,34.015385,108.614175
西安高陵奇石博物馆,1,"[""历史人文""]",高陵区桑军大道与310国道交汇处,http://zxwpic.weiyoutong.com/a9c25c85-89de-45e8-b573-e9e21e5b35f4.jpg,0.0,,34.53482899999999,109.088297
杨虎城烈士陵园,1,"[""红色旅游""]",长安区韦区街道双竹村甲子一号,http://zxwpic.weiyoutong.com/ce66de13-0570-41a8-8e63-fa06e43030f1.jpg,4.1,0.0,34.142088,108.956111
蓝田猿人遗址,1,"[""历史人文""]",蓝田县九间房镇公王村,http://zxwpic.weiyoutong.com/e7bbfde0-4d01-43f7-a1d4-1c4c8c00b693.jpg,0.0,,34.186083,109.510732
常宁宫休闲山庄,1,"[""都市玩乐""]",长安区正南五公里,http://zxwpic.weiyoutong.com/54f9a0df-fd1b-4954-aab6-26dc1f1678ef.jpg,4.2,,34.106679,108.941146
西安祥峪森林公园,1,"[""自然生态""]",长安区东大寨祥峪沟村,http://zxwpic.weiyoutong.com/4a3b2c6b-9037-4dab-865e-d0273436ff1d.jpg,4.4,,37.57126,113.719422
重阳宫,1,"[""宗教寺院""]",户县祖庵镇,http://zxwpic.weiyoutong.com/2dceb126-5d49-41b1-a55c-302e6bdc4b48.jpg,3.9,,34.101483,108.499303
大兴善寺,1,"[""宗教寺院""]",兴善寺西街55号,http://zxwpic.weiyoutong.com/6dd79294-9b67-4b55-aab2-30c19004668a.jpg,4.5,,34.226117,108.944696
临潼博物馆,1,"[""历史人文""]",临潼区东环路1号,http://zxwpic.weiyoutong.com/8f469cd6-ccc0-4f85-a36b-ab21194bb918.jpg,4.2,,34.3675819,109.2173576
